method,n,size,repeats,adjusted,mmae,std,prec,rec,f1,acc
pearson,66,100,10,adjusted,3.270826339273806,0.22264345839444444,0.7045454545454546,0.24313725490196078,0.36151603498542273,0.781
cosine,11,100,10,adjusted,3.2207487497800726,0.19743128545164976,0.686046511627907,0.2489451476793249,0.36532507739938086,0.795
cosine,59,100,10,adjusted,3.31071097833413,0.27077200692659087,0.8082191780821918,0.22957198443579765,0.35757575757575755,0.788
cosine,44,100,10,adjusted,3.2395009460989095,0.2761723486179568,0.7976190476190477,0.2427536231884058,0.37222222222222223,0.774
pearson,33,100,10,adjusted,3.131370687195173,0.22084494126041626,0.7901234567901234,0.256,0.3867069486404834,0.797
pearson,84,100,10,adjusted,3.141262061891515,0.2761814869699973,0.7289719626168224,0.3132530120481928,0.43820224719101125,0.8
pearson,99,100,10,adjusted,3.086996585715595,0.15299013808379122,0.7431192660550459,0.3306122448979592,0.45762711864406785,0.808
cosine,1,100,10,adjusted,4.326410914939881,0.2446225743407897,0.5093457943925234,0.4144486692015209,0.4570230607966457,0.741
pearson,29,100,10,adjusted,3.32699323288362,0.22835295642438475,0.6966292134831461,0.24899598393574296,0.3668639053254438,0.786
cosine,85,100,10,nonadjusted,3.43335628120213,0.19073333625926558,0.5304347826086957,0.49795918367346936,0.5136842105263159,0.769
pearson,83,100,10,nonadjusted,3.590685373361071,0.2081391558633504,0.5555555555555556,0.12295081967213115,0.20134228187919465,0.762
pearson,34,100,10,adjusted,3.2513292785343637,0.24691490276184483,0.8148148148148148,0.3176895306859206,0.4571428571428572,0.791
cosine,75,100,10,nonadjusted,3.2646193647853914,0.24774361480159401,0.5540540540540541,0.5040983606557377,0.5278969957081545,0.78
cosine,43,100,10,adjusted,3.211049759900296,0.2063616043571366,0.7671232876712328,0.20216606498194944,0.32,0.762
pearson,73,100,10,nonadjusted,3.7176500668961032,0.3172881638203923,0.6724137931034483,0.14444444444444443,0.23780487804878045,0.75
pearson,16,100,10,nonadjusted,3.680849712633409,0.33260841237495326,0.4954128440366973,0.2109375,0.2958904109589041,0.743
cosine,10,100,10,nonadjusted,3.4709224395470266,0.21626637658742093,0.5615384615384615,0.5328467153284672,0.5468164794007492,0.758
pearson,95,100,10,nonadjusted,3.7671473438361867,0.2082915657727951,0.6323529411764706,0.14576271186440679,0.2369146005509642,0.723
cosine,93,100,10,nonadjusted,3.485927484291241,0.1796435526788104,0.6046511627906976,0.5342465753424658,0.5672727272727272,0.762
cosine,16,100,10,adjusted,3.194263126809168,0.13714551840425013,0.76,0.2556053811659193,0.3825503355704698,0.816
pearson,61,100,10,adjusted,3.0244343219890797,0.18989862897396173,0.75,0.3605150214592275,0.4869565217391305,0.823
pearson,65,100,10,nonadjusted,3.5949712288405067,0.21864235982285893,0.56,0.15498154981549817,0.24277456647398846,0.738
cosine,63,100,10,nonadjusted,3.3658578366943566,0.25868564836209007,0.5571428571428572,0.46613545816733065,0.5075921908893709,0.773
pearson,83,100,10,adjusted,3.304663901859235,0.21224706703758653,0.75,0.277992277992278,0.4056338028169015,0.789
cosine,59,100,10,nonadjusted,3.325394902898111,0.24873339543024556,0.6060606060606061,0.5343511450381679,0.5679513184584178,0.787
cosine,6,100,10,adjusted,3.3477551166832216,0.2532509248233308,0.6440677966101694,0.3089430894308943,0.4175824175824176,0.788
pearson,49,100,10,nonadjusted,3.685047832630238,0.21352483830394983,0.5571428571428572,0.15354330708661418,0.24074074074074076,0.754
cosine,37,100,10,nonadjusted,3.347088611403172,0.2418639841050421,0.5465587044534413,0.4891304347826087,0.5162523900573613,0.747
pearson,31,100,10,nonadjusted,3.6053450114066967,0.28207331063259083,0.6794871794871795,0.20784313725490197,0.31831831831831836,0.773
cosine,44,100,10,nonadjusted,3.2702252064215784,0.31439279572333123,0.5165289256198347,0.5230125523012552,0.5197505197505197,0.769
pearson,42,100,10,nonadjusted,3.6712953253010383,0.3387421494529122,0.5652173913043478,0.14942528735632185,0.23636363636363636,0.748
pearson,27,100,10,nonadjusted,3.6627591084084274,0.2129208879094385,0.5454545454545454,0.1875,0.27906976744186046,0.752
cosine,21,100,10,nonadjusted,3.302430398753523,0.28820252664666957,0.5965665236051502,0.5205992509363296,0.556,0.778
pearson,97,100,10,adjusted,3.1510229224824884,0.20506755758185333,0.8571428571428571,0.2926829268292683,0.4363636363636364,0.814
cosine,1,100,10,nonadjusted,4.211930000000001,0.3035746730213178,0.46839080459770116,0.5863309352517986,0.5207667731629394,0.7
pearson,54,100,10,nonadjusted,3.713284897771988,0.24389891282486703,0.5411764705882353,0.1803921568627451,0.27058823529411763,0.752
